,shortname,name,content
111,p245,P245,"Erter og bønner til konservesindustri (høstet før modning), daa"
112,p247,P247,"Høsthvete, daa"
113,p264,P264,"Grønnsaker på friland, inkl. matkålrot og urter, daa"
114,p271,P271,"Moreller og kirsebær, daa"
115,p272,P272,"Epler, daa"
116,p273,P273,"Pærer, daa"
117,p274,P274,"Plommer, daa"
118,p280,P280,"Jordbær, daa"
119,p282,P282,"Andre bærarter, daa"
120,p283,P283,"Andre fruktarter, daa"
121,p285,P285,"Planteskoleareal og blomsterdyrking på friland, daa"
122,p290,P290,"Brakka areal, daa"
123,p292,P292,"Fulldyrket og/eller overflatedyrket areal ute av drift, daa"
124,p293,P293,"Innmarksbeite, ute av drift, daa"
125,p294,P294,"Areal i drift, men ikke berettiget produksjonstilskudd, daa"
126,p410,P410,Melkekyr og ammekyr på utmarksbeite
127,p411,P411,Melkekyr og ammekyr på beite i minst 12/16 uker
128,p420,P420,Øvrige storfe på utmarksbeite
129,p422,P422,Øvrige storfe på beite i minst 12/16 uker
130,p431_sanket_utmarksbeite,P431 sanket utmarksbeite,"Sauer, født i fjor eller tidligere, sanket fra utmarksbeite"
131,p431_sluppet_utmarksbeite,P431 sluppet utmarksbeite,"Sauer, født i fjor eller tidligere, sluppet på utmarksbeite"
132,p432_sanket_utmarksbeite,P432 sanket utmarksbeite,"Lam, født i år, sanket fra utmarksbeite"
133,p432_sluppet_utmarksbeite,P432 sluppet utmarksbeite,"Lam, født i år, sluppet på utmarksbeite"
134,p440,P440,"Geiter, voksne og kje, på utmarksbeite"
135,p445,P445,"Geiter, voksne og kje, på beite i minst 12/16 uker"
136,p450,P450,Hester på utmarksbeite
137,p455,P455,Hester på beite i minst 12/16 uker
138,p480,P480,Lama på beite i minst 12/16 uker
139,p481,P481,Alpakka på beite i minst 12/16 uker
140,p486,P486,Hjort på beite i minst 12/16 uker
141,p487,P487,"Sauer, født i fjor eller tidligere, på beite i minst 12/16 uker"
142,p488,P488,"Lam, født i år, på beite i minst 12/16 uker"
143,p521,P521,"Salg av grovfôr, høy, kg"
144,p522,P522,"Salg av grovfôr, surfôr, kg"
145,p523,P523,"Salg av grovför, høyensilasje, kg"
146,p720,P720,Kyr av bevaringsverdig rase
147,p721,P721,Okser av bevaringsverdig rase
148,p722,P722,"Søyer av bevaringsverdig rase, født i fjor eller tidligere"
149,p723,P723,"Værer av bevaringsverdig rase, født i fjor eller tidligere"
150,p724,P724,Ammegeiter av bevaringsverdig rase
151,p725,P725,Unghester under 3 år av bevaringsverdig rase
152,p801_vaar,P801 vår,Økologiske melkekyr
153,p801_hoest,P801 høst,Økologiske melkekyr
154,p802_vaar,P802 vår,Økologiske ammekyr
155,p802_hoest,P802 høst,Økologiske ammekyr
156,p803_vaar,P803 vår,Økologiske øvrige storfe
157,p803_hoest,P803 høst,Økologiske øvrige storfe
158,p810_vaar,P810 vår,Økologiske melkegeiter
159,p810_hoest,P810 høst,Økologiske melkegeiter
160,p811_vaar,P811 vår,Økologiske ammegeiter
161,p821_vaar,P821 vår,Økologiske sauer født i fjor eller tidligere
162,p830_vaar,P830 vår,Økologiske avlsgriser
163,p830_hoest,P830 høst,Økologiske avlsgriser
164,p831,P831,"Økologiske slaktegriser, slaktet i søknadsåret"
165,p840,P840,"Økologiske kyllinger, slaktet i søknadsåret"
166,p841_vaar,P841 vår,Økologiske verpehøner
167,p841_hoest,P841 høst,Økologiske verpehøner
168,p852,P852,"Grønngjødsling, 2. års karens, daa"
169,p855,P855,"Korn til modning og krossing, økologisk samt 2. års karens, daa"
170,p861,P861,"Poteter, økologisk areal samt 2.års karens, daa"
171,p863,P863,"Frukt og bær, økologisk areal samt 2. års karens, daa"
172,p864,P864,"Grønnsaker, økologisk areal samt 2. års karens, daa"
173,p870,P870,"Grovfôrareal (unntatt innmarksbeite), økologisk areal samt 2. års karens, daa"
174,p871,P871,"Innmarksbeite, økologisk areal, daa"
175,p875,P875,"Grønngjødsling, økologisk areal, daa"
176,p876,P876,"Areal brakket for å bekjempe ugress, daa"
177,p880,P880,"Innmarksbeite i 1. års karens, daa"
178,p881,P881,"Grovfôrareal (unntatt innmarksbeite) i 1. års karens, daa"
179,p882,P882,"Annet areal i 1. års karens, daa"
180,arealtilskudd,Arealtilskudd,Arealtilskudd
181,avloesertilskudd,Tilskudd til avløsning ved ferie og fritid,Tilskudd til avløsning ved ferie og fritid
182,beitetilskudd,Tilskudd for dyr på beite,Tilskudd for dyr på beite
183,bevaringsverdige_husdyr_tilsku,Tilskudd for dyr av bevaringsverdige husdyrraser,Tilskudd for dyr av bevaringsverdige husdyrraser
184,distriktstilskudd_frukt_groent,"Distriktstilskudd for frukt, bær, veksthusgrønnsaker (inkl. salat på friland)","Distriktstilskudd for frukt, bær, veksthusgrønnsaker (inkl. salat på friland)"
185,distriktstilskudd_potet_gronns,Distriktstilskudd for matpotet og grønnsaker i Nord-Norge,Distriktstilskudd for matpotet og grønnsaker i Nord-Norge
186,husdyrtilskudd,Husdyrtilskudd,Husdyrtilskudd
187,kulturlandskapstilskudd,Kulturlandskapstilskudd,Kulturlandskapstilskudd
188,melkeproduksjon,Driftstilskudd til melkeproduksjon,Driftstilskudd til melkeproduksjon
189,oekologiskarealtilskudd,Arealtilskudd til økologisk landbruk,Arealtilskudd til økologisk landbruk
190,oekologiskhusdyrtilskudd,Tilskudd til økologisk husdyrproduksjon,Tilskudd til økologisk husdyrproduksjon
191,smaa_mellomstore_melkebruk,Tilskudd til små og mellomstore melkebruk,Tilskudd til små og mellomstore melkebruk
192,storfekjoettproduksjon,Driftstilskudd til spesialisert storfekjøttproduksjon,Driftstilskudd til spesialisert storfekjøttproduksjon
193,utmarksbeitetilskudd,Tilskudd for dyr på utmarksbeite,Tilskudd for dyr på utmarksbeite
194,bunnfradrag,Bunnfradrag,Bunnfradrag
